geometry,OBJECTID,NAME,LABEL,Shape_Length
"LINESTRING (-11.37 71.774002, -10.356 71.614998, -9.393 71.456001, -7.941 71.217003, -7.375 71.125)",28,Eurasian:North American,Transform Boundary,4.047394968252942
"LINESTRING (-11.356 71.052002, -11.865 71.147003, -12.359 71.251999)",29,Eurasian:North American,Transform Boundary,1.022824763572749
"LINESTRING (-12.255 70.563004, -12.009 70.706001, -11.669 70.875999, -11.356 71.052002)",30,Eurasian:North American,Divergent Boundary,1.023763596371996
"LINESTRING (-13.892 70.816002, -13.396 70.772003, -12.905 70.697998, -12.255 70.563004)",31,Eurasian:North American,Transform Boundary,1.658363697368033
"LINESTRING (-14.448 70.353996, -14.237 70.516998, -14.036 70.725998, -13.892 70.816002)",32,Eurasian:North American,Divergent Boundary,0.7264105635986651
"LINESTRING (-14.734 70.389, -14.448 70.353996)",33,Eurasian:North American,Transform Boundary,0.28813434392889375
"LINESTRING (-14.734 70.389, -15.024 70.168999, -15.425 69.839996, -15.716 69.550003, -16.034 69.264999, -16.263 69.038002, -16.487 68.807999)",34,Eurasian:North American,Divergent Boundary,2.364049510702227
"LINESTRING (-16.487 68.807999, -17.153999 68.864998)",35,Eurasian:North American,Transform Boundary,0.669430852555802
"LINESTRING (-17.153999 68.864998, -17.392 68.699997, -17.829 68.400002, -18.219999 68.066002, -18.49 67.737999, -18.756001 67.443001, -19.099001 67.057999)",36,Eurasian:North American,Divergent Boundary,2.6715826005409666
"LINESTRING (125.691874 78.178664, 125.820073 78.051586, 126.457001 77.683998, 127.051197 77.314679, 127.152564 77.225302, 127.265742 77.123443, 127.634003 76.642998, 128.050003 76.050003, 128.518997 75.494003, 128.8433 75.080447, 128.945528 74.960765, 129.086459 74.843722, 129.595001 74.478996, 130.199997 74.017998, 131.263 73.371002, 132.483002 72.695, 133.266998 72.281998, 134.016998 71.864998, 134.854004 71.267998, 135.567213 70.726423, 135.955279 70.515197, 136.757996 69.954002, 137.367996 69.635002, 138.340523 69.135685, 138.47034 69.051353, 138.602896 68.9394, 138.962997 68.476997, 139.284533 68.040852, 139.384015 67.941189, 139.505088 67.849462, 140.330002 67.446999, 141.242004 66.978996)",37,Eurasian:North American,Divergent Boundary,19.414410759610192
"LINESTRING (-19.099001 67.057999, -18.118 66.933998)",38,Eurasian:North American,Transform Boundary,0.9888068079707092
"LINESTRING (-18.118 66.933998, -18.247 66.780998)",39,Eurasian:North American,Divergent Boundary,0.20012468103852285
"LINESTRING (-18.247 66.780998, -17.473 66.684998)",40,Eurasian:North American,Transform Boundary,0.7799310155948364
"LINESTRING (-17.473 66.684998, -17.718 66.364998)",41,Eurasian:North American,Divergent Boundary,0.403020119135718
"LINESTRING (-17.718 66.364998, -16.507 66.203003)",42,Eurasian:North American,Transform Boundary,1.221787391971747
"LINESTRING (-16.507 66.203003, -16.656 65.943001, -16.858999 65.677002, -17.025 65.378998, -17.141001 64.995003, -17.368 64.737, -17.822001 64.488998, -18.625999 64.181999, -19.041 63.985001, -19.238001 63.862)",43,Eurasian:North American,Divergent Boundary,3.7897523326060902
"LINESTRING (-19.238001 63.862, -20.097 63.949001, -20.731001 64.016998, -21.298 64.067001)",44,Eurasian:North American,Transform Boundary,2.0702306347762685
